,Compound,Media Outlet,Negative,Neutral,Number of Tweets Ago,Positive,Time,Tweet Text
37,-0.6908,@BBC,0.259,0.64,37,0.101,Sat Apr 21 23:09:50 +0000 2018,"RT @LadyMercia: MSM inc @BBC 
Have been remembering the tragic racially motivated 
Murder of Stephen Lawrence..

In memory of the other you…"
38,0.7184,@BBC,0.0,0.25,38,0.75,Sat Apr 21 23:09:35 +0000 2018,@EMingeRuffler @BBC Yeah. Lovely. 🤢
39,-0.6124,@BBC,0.227,0.636,39,0.136,Sat Apr 21 23:09:02 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
40,-0.6124,@BBC,0.227,0.636,40,0.136,Sat Apr 21 23:06:25 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
41,0.0,@BBC,0.0,1.0,41,0.0,Sat Apr 21 23:06:14 +0000 2018,For Tunecore Social I am using just first WORD - HARJGTHEONE - see Tunecore Social @tunecore @bbc #HGOHD #HARJGTHEONE #HARJGTHEONEDBA
42,-0.6523,@BBC,0.186,0.814,42,0.0,Sat Apr 21 23:05:55 +0000 2018,"RT @OLOV1571: I thought kidnapping/euthanasia were ILLEGAL in the UK? How, then, are UK hospitals getting away w/holding children hostage &amp;…"
43,0.6901,@BBC,0.0,0.749,43,0.251,Sat Apr 21 23:04:52 +0000 2018,Hey @Rus_Emb_Ireland so the @BBC have sent out very convincing photo that proved Assad used gas. I'm convinced. https://t.co/qHUYgxibyG
44,0.1511,@BBC,0.0,0.938,44,0.062,Sat Apr 21 23:03:15 +0000 2018,RT @joshrthompson: Do you want to see a full season of my TV show? Let the networks (and everyone else) know! @IFC @hulu @netflix @BBC @CBC…
45,0.0,@BBC,0.0,1.0,45,0.0,Sat Apr 21 23:02:01 +0000 2018,"RT @calamordor: the Spanish regime requisitioning yellow scarves for fans of FC Barcelona in the cup final
@bbc @guardian @corriere @TheEco…"
46,0.7644,@BBC,0.0,0.577,46,0.423,Sat Apr 21 23:01:43 +0000 2018,RT @BBC: Shaggy helps the Queen celebrate 92nd birthday! 👑 https://t.co/5C4NR4h5f9 https://t.co/jBHBF8ECOh
47,-0.743,@BBC,0.474,0.526,47,0.0,Sat Apr 21 23:01:37 +0000 2018,RT @rogensworld: Her racism has no bounds @BBC https://t.co/HJ6lJSYKtL
48,0.7644,@BBC,0.0,0.577,48,0.423,Sat Apr 21 23:01:29 +0000 2018,RT @BBC: Shaggy helps the Queen celebrate 92nd birthday! 👑 https://t.co/5C4NR4h5f9 https://t.co/jBHBF8ECOh
49,-0.9062,@BBC,0.393,0.607,49,0.0,Sat Apr 21 23:01:28 +0000 2018,RT @Mikeofthemoor: @thepileus It's getting difficult to fathom out why the @BBC refuse to report just how nasty &amp; racist @theresa_may has b…
50,-0.6124,@BBC,0.227,0.636,50,0.136,Sat Apr 21 23:01:26 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
51,-0.836,@BBC,0.361,0.55,51,0.089,Sat Apr 21 23:00:47 +0000 2018,I do love #TheQueen but there was no need for @BBC to waste the @TVLicensing on that awful #QueensBirthdayParty and… https://t.co/l6dUWRnEHQ
52,0.0,@BBC,0.0,1.0,52,0.0,Sat Apr 21 23:00:36 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
53,0.0,@BBC,0.0,1.0,53,0.0,Sat Apr 21 23:00:22 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
54,-0.743,@BBC,0.474,0.526,54,0.0,Sat Apr 21 22:59:49 +0000 2018,RT @rogensworld: Her racism has no bounds @BBC https://t.co/HJ6lJSYKtL
55,-0.6124,@BBC,0.227,0.636,55,0.136,Sat Apr 21 22:59:45 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
56,0.7644,@BBC,0.0,0.577,56,0.423,Sat Apr 21 22:59:33 +0000 2018,RT @BBC: Shaggy helps the Queen celebrate 92nd birthday! 👑 https://t.co/5C4NR4h5f9 https://t.co/jBHBF8ECOh
57,0.2411,@BBC,0.0,0.906,57,0.094,Sat Apr 21 22:59:23 +0000 2018,"RT @Mikeofthemoor: Hi @BBC, @BBCNews @BBCRadio4 etc, I noticed that you've not bothered to inform the public that @theresa_may ordered thes…"
58,0.0,@BBC,0.0,1.0,58,0.0,Sat Apr 21 22:59:17 +0000 2018,@Cristobal1_one @MartiEstruch @BBC @guardian @Corriere @TheEconomist @FinancialTimes @lemondefr @dailytelegraph… https://t.co/qMCk1MkIJz
59,0.0,@BBC,0.0,1.0,59,0.0,Sat Apr 21 22:59:15 +0000 2018,@abcnews @abendblatt @ActualidadRT @AFP @afpfr @ahorapodemos @AlbanoDante76 @Algemeiner @AlJazeera @altamiranoMLG… https://t.co/9SYHcYJCCQ
60,0.0,@BBC,0.0,1.0,60,0.0,Sat Apr 21 22:59:09 +0000 2018,"RT @BBC: 🚘🚆 A man bought a car, taxed and insured it and drove from London to Bristol - all for less than a return train fare.
👉 https://t.…"
61,-0.6124,@BBC,0.227,0.636,61,0.136,Sat Apr 21 22:58:56 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
62,0.0,@BBC,0.0,1.0,62,0.0,Sat Apr 21 22:58:22 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
63,0.0,@BBC,0.0,1.0,63,0.0,Sat Apr 21 22:57:45 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
64,-0.6124,@BBC,0.227,0.636,64,0.136,Sat Apr 21 22:57:34 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
65,-0.3089,@BBC,0.097,0.903,65,0.0,Sat Apr 21 22:56:28 +0000 2018,"RT @renireni: Isn't it interesting that at the same time the British government is deporting black Brits who've lived here since childhood,…"
66,0.0,@BBC,0.0,1.0,66,0.0,Sat Apr 21 22:56:23 +0000 2018,"RT @OrhanOflu: For Your Information #World 🌍 #Press, 

@guardian @guardiannews @lemondefr @FTM_nl @WELT_Sport @ARD_Presse @david_conn @nyti…"
67,-0.6124,@BBC,0.227,0.636,67,0.136,Sat Apr 21 22:56:03 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
68,0.9256,@BBC,0.0,0.604,68,0.396,Sat Apr 21 22:55:38 +0000 2018,"Just rewatched Love, Nina on @NetflixUK ... cant tell you how much I love it and hope for a second season!!!!!! @BBCOne @BBC @ninastibbe"
69,-0.1531,@BBC,0.11,0.89,69,0.0,Sat Apr 21 22:55:26 +0000 2018,RT @BBC: 🎨 Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/Vyquf7IG49
70,0.0,@BBC,0.0,1.0,70,0.0,Sat Apr 21 22:55:06 +0000 2018,"RT @castrocalo: @RussiaConnects @BBC What's behind (or inside) the ""#WhiteHelmets"" of #Syria?
Via @MintPressNews https://t.co/aNHSVYtpgx"
71,0.0,@BBC,0.0,1.0,71,0.0,Sat Apr 21 22:53:44 +0000 2018,@DigitalSevilla @bbc @guardian @corriere @TheEconomist @financialtimes @lemondefr @dailytelegraph  @Le_Figaro… https://t.co/2i6pBethUD
72,0.8225,@BBC,0.0,0.709,72,0.291,Sat Apr 21 22:53:13 +0000 2018,RT @BBC: From green tea panna cotta to Earl Grey bread: these recipes are the perfect way to celebrate #NationalTeaDay (with a cuppa of cou…
73,-0.6369,@BBC,0.16,0.84,73,0.0,Sat Apr 21 22:51:41 +0000 2018,"My mother, who is the same age as the Queen, just told me that Her Majesty will have hated her #QueensBirthday show… https://t.co/tE7zw3PRLl"
74,0.0,@BBC,0.0,1.0,74,0.0,Sat Apr 21 22:51:09 +0000 2018,"RT @OrhanOflu: For Your Information #World 🌍 #Press, 

@guardian @guardiannews @lemondefr @FTM_nl @WELT_Sport @ARD_Presse @david_conn @nyti…"
75,0.0,@BBC,0.0,1.0,75,0.0,Sat Apr 21 22:51:01 +0000 2018,RT @AMITABEROS: @JJGuerrera @dcabellor @UnMijito @PatriotaObrero_ @damorenoVzla @chinarivas30 @yami2336 @Lomb1209 @1ChavistaMaduro @ZaidAlv…
76,-0.296,@BBC,0.167,0.833,76,0.0,Sat Apr 21 22:50:12 +0000 2018,@nerys That's a lot. We pay taxes depending on earnings and then we pay for council tax and then we have to pay for… https://t.co/TMWOCqNnYF
77,0.3818,@BBC,0.0,0.874,77,0.126,Sat Apr 21 22:49:36 +0000 2018,"RT @ThomasLeVarlet: Dear @IFC @hulu @netflix @BBC @CBC @crackle @adultswim @AmazonStudios @HBO @FXXNetwork , Josh helped me go through toug…"
78,-0.1531,@BBC,0.11,0.89,78,0.0,Sat Apr 21 22:48:51 +0000 2018,RT @BBC: 🎨 Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/Vyquf7IG49
79,0.3818,@BBC,0.0,0.874,79,0.126,Sat Apr 21 22:47:54 +0000 2018,"RT @ThomasLeVarlet: Dear @IFC @hulu @netflix @BBC @CBC @crackle @adultswim @AmazonStudios @HBO @FXXNetwork , Josh helped me go through toug…"
80,0.3818,@BBC,0.0,0.874,80,0.126,Sat Apr 21 22:46:44 +0000 2018,"RT @ThomasLeVarlet: Dear @IFC @hulu @netflix @BBC @CBC @crackle @adultswim @AmazonStudios @HBO @FXXNetwork , Josh helped me go through toug…"
81,-0.743,@BBC,0.474,0.526,81,0.0,Sat Apr 21 22:45:07 +0000 2018,RT @rogensworld: Her racism has no bounds @BBC https://t.co/HJ6lJSYKtL
82,0.0,@BBC,0.0,1.0,82,0.0,Sat Apr 21 22:44:59 +0000 2018,RT @ec_01cast: SPREAD‼️‼️‼️ @washingtonpost @cnnbrk @CNN @TheEconomist @BBCWorld @bbcmundo @BBC @ABC  @FoxNews @OAS_official https://t.co/S…
83,-0.6908,@BBC,0.259,0.64,83,0.101,Sat Apr 21 22:44:54 +0000 2018,"RT @LadyMercia: MSM inc @BBC 
Have been remembering the tragic racially motivated 
Murder of Stephen Lawrence..

In memory of the other you…"
84,0.0,@BBC,0.0,1.0,84,0.0,Sat Apr 21 22:44:46 +0000 2018,@antonibassas @FCBarcelona @bbc @guardian @corriere @TheEconomist @financialtimes @lemondefr @dailytelegraph … https://t.co/nBDtF14KjV
85,0.0,@BBC,0.0,1.0,85,0.0,Sat Apr 21 22:44:45 +0000 2018,"RT @castrocalo: @RussiaConnects @BBC What's behind (or inside) the ""#WhiteHelmets"" of #Syria?
Via @MintPressNews https://t.co/aNHSVYtpgx"
86,0.0,@BBC,0.0,1.0,86,0.0,Sat Apr 21 22:44:37 +0000 2018,"RT @castrocalo: @RussiaConnects @BBC What's behind (or inside) the ""#WhiteHelmets"" of #Syria?
Via @MintPressNews https://t.co/aNHSVYtpgx"
87,0.0,@BBC,0.0,1.0,87,0.0,Sat Apr 21 22:44:22 +0000 2018,@Mikeofthemoor @blueunicorn63 @Rachael_Swindon @BBC 😮 ?
88,0.6369,@BBC,0.0,0.543,88,0.457,Sat Apr 21 22:44:17 +0000 2018,RT @BBC: ❤️🦍 A mother's love. https://t.co/O88T9j69Ga
89,0.0,@BBC,0.0,1.0,89,0.0,Sat Apr 21 22:44:04 +0000 2018,"RT @castrocalo: @RussiaConnects @BBC What's behind (or inside) the ""#WhiteHelmets"" of #Syria?
Via @MintPressNews https://t.co/aNHSVYtpgx"
90,-0.743,@BBC,0.474,0.526,90,0.0,Sat Apr 21 22:43:20 +0000 2018,RT @rogensworld: Her racism has no bounds @BBC https://t.co/HJ6lJSYKtL
91,-0.6124,@BBC,0.227,0.636,91,0.136,Sat Apr 21 22:43:09 +0000 2018,RT @rogensworld: Guys @BBC I'm not paying £150 TV licence for someone like Maya Jama to make rape jokes and disrespect my black Queens. Thi…
92,0.0,@BBC,0.0,1.0,92,0.0,Sat Apr 21 22:43:08 +0000 2018,"RT @MySelfAndHeize: ESTO ES LO QUE PASÓ ÉSTA TARDE EN UNA DE LAS UNIVERSIDADES. SIGUE MURIENDO GENTE. NECESITAN AYUDA INTERNACIONAL 

@Noti…"
93,-0.128,@CBSNews,0.185,0.662,0,0.152,Sat Apr 21 23:30:37 +0000 2018,@paulb0641 @CBSNews Trump lies all the time instead of telling the truth
94,-0.872,@CBSNews,0.498,0.386,1,0.116,Sat Apr 21 23:30:36 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
95,0.0,@CBSNews,0.0,1.0,2,0.0,Sat Apr 21 23:30:23 +0000 2018,"@CBSNews YAY,!!"
96,0.4939,@CBSNews,0.0,0.878,3,0.122,Sat Apr 21 23:30:22 +0000 2018,"RT @notprogressive1: @CBSNews And you wonder why sometimes it will take the cops a looooooooong time to get there to save you. 

This is pr…"
97,-0.6696,@CBSNews,0.407,0.423,4,0.169,Sat Apr 21 23:30:15 +0000 2018,@CBSNews Add acid attacks and honor killings to the list India!
98,0.0,@CBSNews,0.0,1.0,5,0.0,Sat Apr 21 23:30:11 +0000 2018,RT @P226_Sig: @andrewjasper201 @CBSNews Lock and load. Cops are for chalking the bodies.
99,0.4939,@CBSNews,0.0,0.814,6,0.186,Sat Apr 21 23:30:08 +0000 2018,"RT @CBSNews: Ocala, Florida school shooting: School resource officer praised for quick actions https://t.co/kjOJCLAemI https://t.co/EqOcg7Z…"
100,0.4404,@CBSNews,0.0,0.508,7,0.492,Sat Apr 21 23:30:06 +0000 2018,@CBSNews That's good news.
101,0.0,@CBSNews,0.0,1.0,8,0.0,Sat Apr 21 23:30:05 +0000 2018,@CBSNews What a piece of garbage.
102,0.3182,@CBSNews,0.0,0.901,9,0.099,Sat Apr 21 23:30:01 +0000 2018,RT @CBSNews: A San Antonio charter school has apologized after a teacher asked students in an 8th grade American history class to list the…
103,-0.4767,@CBSNews,0.147,0.853,10,0.0,Sat Apr 21 23:30:00 +0000 2018,"RT @CBSNews: UPDATE: At least 10 people were arrested Saturday at a scheduled neo-Nazi rally in Newnan, Georgia https://t.co/dQYrqELYbM htt…"
104,-0.872,@CBSNews,0.498,0.386,11,0.116,Sat Apr 21 23:29:58 +0000 2018,RT @CBSNews: India approves death penalty for rape of young children https://t.co/34XXgJWzLf https://t.co/FQgveXw0Cz
105,0.8714,@CBSNews,0.0,0.648,12,0.352,Sat Apr 21 23:29:56 +0000 2018,"RT @CBSNews: Jeb Bush on what he learned from Barbara Bush: ""Be kind, always tell the truth, never disparage anyone, serve others, treat ev…"
106,0.8714,@CBSNews,0.0,0.648,13,0.352,Sat Apr 21 23:29:54 +0000 2018,"RT @CBSNews: Jeb Bush on what he learned from Barbara Bush: ""Be kind, always tell the truth, never disparage anyone, serve others, treat ev…"
